	Event_Time	Cause	Growth_Factor	GFP	Group	Clone	Progeny	Generation	GFP_Age	IsGFPatBirth	StartTime	BirthTime
112	5.06747685e-01	1.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	1.20000000e+01	3.70000000e+01	5.00000000e+00	4.04293981e-01	0.00000000e+00	7.32906896e+05	7.32909406e+05
113	5.11956019e-01	1.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	1.20000000e+01	3.20000000e+01	5.00000000e+00	1.35578704e-01	0.00000000e+00	7.32906896e+05	7.32909392e+05
114	5.17187500e-01	1.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	1.20000000e+01	4.40000000e+01	5.00000000e+00	3.60590278e-01	0.00000000e+00	7.32906896e+05	7.32909515e+05
115	5.27731481e-01	1.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	1.20000000e+01	5.40000000e+01	5.00000000e+00	3.69571759e-01	0.00000000e+00	7.32906896e+05	7.32909871e+05
116	5.39837963e-01	1.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	1.20000000e+01	4.80000000e+01	5.00000000e+00	3.50289352e-01	0.00000000e+00	7.32906896e+05	7.32909890e+05
117	5.43356481e-01	1.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	1.20000000e+01	5.50000000e+01	5.00000000e+00	3.69571759e-01	0.00000000e+00	7.32906896e+05	7.32909871e+05
118	5.46782407e-01	1.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	1.20000000e+01	6.00000000e+01	5.00000000e+00	1.73611112e-03	0.00000000e+00	7.32906896e+05	7.32909907e+05
119	5.60671296e-01	1.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	1.20000000e+01	4.90000000e+01	5.00000000e+00	3.50289352e-01	0.00000000e+00	7.32906896e+05	7.32909890e+05
120	5.64317130e-01	1.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	1.20000000e+01	5.00000000e+01	5.00000000e+00	3.71296296e-01	0.00000000e+00	7.32906896e+05	7.32909869e+05
121	5.66180555e-01	1.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	1.20000000e+01	4.60000000e+01	5.00000000e+00	3.22222222e-01	0.00000000e+00	7.32906896e+05	7.32909554e+05
122	5.93668981e-01	1.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	1.20000000e+01	6.10000000e+01	5.00000000e+00	1.73611112e-03	0.00000000e+00	7.32906896e+05	7.32909907e+05
123	5.97210648e-01	1.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	1.20000000e+01	3.30000000e+01	5.00000000e+00	1.35578704e-01	0.00000000e+00	7.32906896e+05	7.32909392e+05
124	7.96388889e-01	1.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	1.20000000e+01	3.40000000e+01	5.00000000e+00	1.98240741e-01	0.00000000e+00	7.32906896e+05	7.32909329e+05
125	2.25694444e-02	0.00000000e+00	gcsf	0.00000000e+00	GCSF_GFPneg	1.20000000e+01	9.90000000e+01	6.00000000e+00	       NaN	0.00000000e+00	7.32906896e+05	7.32910452e+05
126	2.77430556e-02	0.00000000e+00	gcsf	0.00000000e+00	GCSF_GFPneg	1.20000000e+01	6.80000000e+01	6.00000000e+00	       NaN	0.00000000e+00	7.32906896e+05	7.32910128e+05
127	3.47222221e-02	0.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	1.20000000e+01	1.21000000e+02	6.00000000e+00	1.73611112e-03	0.00000000e+00	7.32906896e+05	7.32910454e+05
128	4.69791667e-02	2.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	1.20000000e+01	8.90000000e+01	6.00000000e+00	1.73611112e-03	0.00000000e+00	7.32906896e+05	7.32910034e+05
129	5.09259260e-02	2.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	1.20000000e+01	8.80000000e+01	6.00000000e+00	1.73611112e-03	0.00000000e+00	7.32906896e+05	7.32910034e+05
